symbol,date,open,high,low,close,volume,delivery_qty,delivery_percentage
SYM000,2023-03-01,88.12,88.8,87.73,87.73,887153,470125,52.992655532259384
SYM000,2023-03-02,87.63,87.86,87.42,87.42,833401,517317,62.073077838177085
SYM000,2023-03-03,87.49,87.8,87.45,87.8,1000025,441777,44.17662949685729
SYM000,2023-03-06,87.76,89.59,86.38,88.36,1115753,485956,43.55414185457849
SYM000,2023-03-07,88.88,89.12,88.46,88.46,476624,328449,68.91157722337272
SYM000,2023-03-08,87.96,88.38,87.73,88.38,1015740,514141,50.617432212946674
SYM000,2023-03-09,88.27,88.4,86.97,88.13,230002,118329,51.447246032354734
SYM000,2023-03-10,88.26,88.59,86.71,88.59,1098398,888716,80.91025321246278
SYM000,2023-03-13,88.97,89.26,88.92,88.92,684130,341949,49.98315741466185
SYM000,2023-03-14,89.18,90.72,88.13,90.72,1131726,918497,81.15901789251689
SYM000,2023-03-15,91.1,91.37,91.04,91.37,790772,552304,69.8437590189228
SYM000,2023-03-16,91.72,91.9,90.65,90.65,1225260,1008507,82.30969236470202
SYM000,2023-03-17,89.94,90.0,88.88,90.0,844516,655922,77.66842649915083
SYM000,2023-03-20,89.68,90.59,89.65,90.59,635031,285337,44.932895839051284
SYM000,2023-03-21,91.11,91.67,89.03,91.67,1091310,612012,56.08050359848867
SYM000,2023-03-22,92.41,94.32,91.86,93.22,1177271,368204,31.276084008190864
SYM000,2023-03-23,93.39,94.18,92.86,94.18,1244129,883668,71.02707333983557
SYM000,2023-03-24,94.29,94.55,93.48,94.55,955741,503791,52.712162013214616
SYM000,2023-03-27,95.02,96.03,94.9,95.8,1444436,633329,43.84617656781154
SYM000,2023-03-28,95.89,96.7,95.88,95.88,1398688,949036,67.85190973849791
SYM000,2023-03-29,96.15,98.39,95.95,97.82,398943,315419,79.06381542275712
SYM000,2023-03-30,97.87,99.15,96.3,97.02,624505,193476,30.980830943217196
SYM000,2023-03-31,97.24,97.74,96.97,96.97,576170,117241,20.34844845051034
SYM000,2023-04-03,96.74,97.18,96.06,96.89,1041472,691558,66.4019962806378
SYM000,2023-04-04,97.15,97.83,96.97,97.64,1059032,712812,67.30792713126128
SYM000,2023-04-05,97.9,98.16,97.78,97.78,1248855,313513,25.10409443418766
SYM000,2023-04-06,97.06,99.32,96.4,96.4,1224830,621316,50.726739004261375
SYM000,2023-04-07,96.92,98.21,96.86,97.36,1406075,792771,56.38189987651164
SYM000,2023-04-10,97.07,98.5,96.2,96.2,892594,598517,67.05377529067903
SYM000,2023-04-11,95.54,95.91,94.54,95.91,1142409,605861,53.0337002396841
SYM000,2023-04-12,96.36,96.94,95.85,95.85,679074,306844,45.18575084968667
SYM000,2023-04-13,95.75,96.07,95.41,96.07,1396198,696119,49.85820773703431
SYM000,2023-04-14,96.58,96.9,95.51,95.51,1115013,591324,53.032937046949826
SYM000,2023-04-17,96.44,98.44,96.37,97.16,1048057,745625,71.14360236199579
SYM000,2023-04-18,97.32,97.34,97.01,97.01,749989,233670,31.156487600365466
SYM000,2023-04-19,96.47,96.91,96.19,96.19,1581169,1131957,71.58990054860948
SYM000,2023-04-20,96.36,96.75,96.08,96.08,1055597,678617,64.2875667546309
SYM000,2023-04-21,96.59,97.7,96.59,96.59,1779302,1038155,58.346196139379124
SYM000,2023-04-24,96.63,97.19,96.58,97.19,948877,410937,43.3077640491187
SYM000,2023-04-25,96.78,97.42,95.73,97.42,1109959,562818,50.70626899666462
SYM000,2023-04-26,97.27,98.18,95.49,98.18,899317,226068,25.137820073140034
SYM000,2023-04-27,98.85,99.74,98.14,98.14,549248,57847,10.532067432375229
SYM000,2023-04-28,99.33,99.76,98.77,98.77,1139524,359925,31.585624705083358
SYM000,2023-05-01,98.82,98.91,98.04,98.28,1103393,717480,65.02489027161995
SYM000,2023-05-02,98.73,100.33,97.77,97.77,733691,550537,75.03676504480349
SYM000,2023-05-03,98.45,98.89,97.02,98.13,1039445,611956,58.87343234984043
SYM000,2023-05-04,97.95,98.87,97.51,98.87,1135700,357900,31.513613917292286
SYM000,2023-05-05,98.6,99.74,96.24,99.74,764030,226939,29.70297773148847
SYM000,2023-05-08,99.86,100.04,99.61,99.61,952244,552785,58.05082360929915
SYM000,2023-05-09,99.96,100.62,99.57,99.57,1166960,693714,59.446270012129894
SYM000,2023-05-10,99.53,99.84,98.78,99.84,690321,250813,36.33292318598387
SYM000,2023-05-11,99.8,100.13,99.75,99.75,770339,527703,68.50276846029945
SYM000,2023-05-12,99.67,100.32,99.12,100.32,1056392,351547,33.27809110877429
SYM000,2023-05-15,100.45,101.36,100.26,100.37,563553,422905,75.04279150018256
SYM000,2023-05-16,100.24,100.6,97.82,100.6,653095,330422,50.59331619771805
SYM000,2023-05-17,100.96,102.98,99.77,99.77,748760,438262,58.531725524648955
SYM000,2023-05-18,99.16,99.41,97.36,99.41,504472,180520,35.78396189731252
SYM000,2023-05-19,99.15,99.96,98.91,98.91,467511,293275,62.731156043512165
SYM000,2023-05-22,99.54,100.17,98.91,98.91,1162339,772303,66.44389723505405
SYM000,2023-05-23,98.08,98.6,97.06,98.6,1070582,360186,33.643983469014096
SYM000,2023-05-24,98.21,99.47,97.51,99.13,1072493,491098,45.79034797910654
SYM000,2023-05-25,98.91,98.95,98.65,98.95,814100,505287,62.06704440099894
SYM000,2023-05-26,98.74,100.09,97.71,97.74,276165,218623,79.16405492517842
SYM000,2023-05-29,97.54,99.43,97.24,99.43,914133,476730,52.151142384666144
SYM000,2023-05-30,99.72,100.24,98.23,98.23,1209759,1037855,85.79027472918837
SYM000,2023-05-31,98.06,98.2,97.46,98.2,480798,276294,57.465860544659535
SYM000,2023-06-01,99.11,99.28,97.45,98.38,668877,426802,63.808887502041884
SYM000,2023-06-02,97.96,98.13,96.77,98.13,902862,267432,29.62056026245355
SYM000,2023-06-05,97.69,98.02,97.61,97.7,488304,150227,30.76512491018983
SYM000,2023-06-06,97.45,99.95,96.68,98.43,1081710,479109,44.29187763945274
SYM000,2023-06-07,98.85,99.19,96.49,96.49,1126056,684817,60.815547118930226
SYM000,2023-06-08,96.88,97.49,95.67,96.61,843603,408884,48.46888790584057
SYM000,2023-06-09,96.99,98.44,96.55,96.55,872567,521019,59.71115835804699
SYM000,2023-06-12,97.01,99.19,96.2,96.58,765275,154544,20.194659814207824
SYM000,2023-06-13,96.14,96.33,95.07,95.07,926481,366310,39.53779419593269
SYM000,2023-06-14,95.56,96.5,94.69,95.5,1167564,603361,51.67695826403799
SYM000,2023-06-15,95.5,96.17,94.51,96.17,996374,516516,51.83964978455265
SYM000,2023-06-16,95.42,96.07,95.08,95.08,693315,371320,53.55731594615002
SYM000,2023-06-19,94.0,95.4,93.13,95.4,1438353,852063,59.238804743789444
SYM000,2023-06-20,94.86,95.92,94.43,95.92,1017482,643364,63.2310822829619
SYM000,2023-06-21,96.05,96.21,95.31,95.74,1242102,381349,30.70192008412345
SYM000,2023-06-22,96.22,97.36,95.24,95.24,442049,249693,56.485522315108014
SYM000,2023-06-23,96.1,96.59,95.74,96.59,732060,403890,55.17176937505982
SYM000,2023-06-26,96.1,98.07,94.39,95.57,1340814,552244,41.187244032863084
SYM000,2023-06-27,95.88,96.3,94.68,96.3,1190611,786996,66.10021354456504
SYM000,2023-06-28,96.47,98.19,96.39,97.75,833142,298284,35.80238563539969
SYM000,2023-06-29,98.59,99.93,98.34,99.93,1405187,775393,55.18079770902738
SYM000,2023-06-30,99.38,99.78,99.32,99.78,609204,330383,54.232043322751046
SYM000,2023-07-03,100.68,101.58,100.66,100.66,1074636,598176,55.66318567156297
SYM000,2023-07-04,100.12,100.27,99.37,99.76,624905,391617,62.66832721821302
SYM000,2023-07-05,98.87,98.99,97.89,98.99,1317767,927543,70.38755264327858
SYM000,2023-07-06,98.57,99.64,98.23,98.7,1113784,827652,74.30996667407598
SYM000,2023-07-07,98.64,99.86,98.32,99.86,1065169,553555,51.96875131915894
SYM000,2023-07-10,99.99,100.49,99.36,99.36,1093435,535456,48.97011129806193
SYM000,2023-07-11,99.5,100.63,99.02,100.03,1431333,537734,37.5688073089857
SYM000,2023-07-12,99.1,99.13,99.07,99.07,964716,706296,73.21284743392752
SYM000,2023-07-13,99.27,100.82,98.15,98.15,886058,387266,43.70662124157069
SYM000,2023-07-14,97.99,99.39,96.19,96.28,899218,751529,83.57590321096706
SYM000,2023-07-17,97.13,97.22,97.0,97.22,1109642,998677,90.0
SYM000,2023-07-18,96.87,97.81,96.52,97.81,853074,585456,68.62902039838167
SYM000,2023-07-19,97.95,97.96,97.62,97.96,1127489,292532,25.945496009418772
SYM000,2023-07-20,97.48,98.89,97.42,98.83,1025194,457209,44.59740753141579
SYM000,2023-07-21,98.17,98.57,97.59,98.57,986023,583557,59.182964269708584
SYM000,2023-07-24,98.92,98.99,97.05,97.05,412422,226069,54.81521060606033
SYM000,2023-07-25,97.0,97.03,96.78,96.78,1284294,492313,38.333426486236625
SYM000,2023-07-26,96.25,96.53,95.06,95.06,870598,152132,17.47450233760518
SYM000,2023-07-27,94.66,95.19,94.27,94.27,1011574,509062,50.32380503766329
SYM000,2023-07-28,93.95,94.76,93.5,94.76,539307,328143,60.845375579800034
SYM000,2023-07-31,94.69,96.2,94.11,94.94,1618089,835233,51.61852826157851
SYM000,2023-08-01,94.97,95.99,94.26,94.26,1119109,708773,63.33373132975187
SYM000,2023-08-02,94.72,95.82,93.36,93.59,1158824,874349,75.45143068128547
SYM000,2023-08-03,93.44,94.25,93.33,93.33,828565,435059,52.50763237075402
SYM000,2023-08-04,93.25,93.64,93.03,93.64,1022713,563415,55.09025020654107
SYM000,2023-08-07,94.18,95.73,93.89,95.07,1176864,444113,37.737032362216496
SYM000,2023-08-08,95.52,96.35,95.32,95.4,1265918,789445,62.36150063490728
SYM000,2023-08-09,95.54,95.88,95.22,95.88,120821,73390,60.74328604577574
SYM000,2023-08-10,95.05,95.48,94.6,94.6,651271,288633,44.31846937181592
SYM000,2023-08-11,94.37,96.49,94.37,96.49,1122410,889544,79.25311597747911
SYM000,2023-08-14,96.0,96.11,95.97,96.11,590577,302154,51.162518929887646
SYM000,2023-08-15,96.55,96.58,96.28,96.28,968145,564881,58.34683027609249
SYM000,2023-08-16,95.8,96.79,94.74,96.79,876298,295727,33.74736861104689
SYM000,2023-08-17,97.02,98.5,96.8,97.93,1220674,739921,60.61579677559395
SYM000,2023-08-18,97.24,97.56,96.95,97.56,855162,582009,68.0583341412959
SYM000,2023-08-21,98.44,99.73,98.33,99.73,1105816,735393,66.50234307676365
SYM000,2023-08-22,99.8,100.62,99.74,100.09,781213,381098,48.782904012462126
SYM000,2023-08-23,100.09,100.43,99.42,100.43,887547,588831,66.34372245444709
SYM000,2023-08-24,99.81,101.25,99.31,100.62,503471,197986,39.324344356205465
SYM000,2023-08-25,100.64,100.92,100.31,100.31,1185910,712709,60.09813041789056
SYM000,2023-08-28,100.51,101.13,98.39,101.13,890668,198590,22.29684903265789
SYM000,2023-08-29,101.13,102.18,99.93,101.25,1060832,503837,47.4945838390465
SYM000,2023-08-30,100.98,100.99,99.99,100.99,832668,558596,67.08517958863752
SYM000,2023-08-31,100.5,101.48,99.8,101.48,1030577,448972,43.56514812958522
SYM000,2023-09-01,101.21,101.76,100.24,100.24,1131253,411478,36.37366706682411
SYM000,2023-09-04,100.3,102.75,98.92,99.94,1441604,825284,57.2476362098092
SYM000,2023-09-05,100.0,100.44,99.84,100.44,1436215,691579,48.15293283662916
SYM000,2023-09-06,100.12,100.18,99.04,100.18,1136507,871438,76.676889353898
SYM000,2023-09-07,100.08,101.2,99.85,99.97,522161,215688,41.30683019921759
SYM000,2023-09-08,100.63,103.46,100.04,101.14,1430590,839130,58.65628720602472
SYM000,2023-09-11,101.36,101.42,101.25,101.25,877500,298598,34.02835510301724
SYM000,2023-09-12,101.58,101.86,100.97,100.97,1002551,670947,66.92398379373441
SYM000,2023-09-13,100.64,101.88,99.05,101.06,1148366,799319,69.60495267016135
SYM000,2023-09-14,101.63,102.25,101.02,102.25,1155898,445482,38.539934881794345
SYM000,2023-09-15,101.56,102.36,100.23,102.36,1252066,967984,77.31097434528795
SYM000,2023-09-18,101.77,102.02,101.67,101.67,1023696,737114,72.00520718135053
SYM000,2023-09-19,101.85,102.86,101.39,101.39,1000932,437935,43.75279992573224
SYM000,2023-09-20,101.3,101.57,99.5,100.87,970466,498252,51.341558347339934
SYM000,2023-09-21,100.42,100.68,99.73,99.73,1414512,742985,52.52593336905672
SYM000,2023-09-22,99.76,99.8,99.67,99.8,1001138,808738,80.7819250457479
SYM000,2023-09-25,98.8,99.34,98.79,98.79,1207031,749521,62.09630797041213
SYM000,2023-09-26,99.29,100.31,99.11,99.11,1288797,761546,59.08967895148193
SYM000,2023-09-27,99.45,99.56,99.45,99.45,1441886,262955,18.2369180718987
SYM000,2023-09-28,98.86,99.22,98.61,98.61,547802,220340,40.2226295153376
SYM000,2023-09-29,99.82,101.62,99.41,99.41,890925,336430,37.76194004217559
SYM000,2023-10-02,99.35,100.34,99.27,99.27,519938,226538,43.57038312534613
SYM000,2023-10-03,99.45,99.86,98.14,99.79,1256405,540214,42.99682455097225
SYM000,2023-10-04,99.79,101.16,99.47,101.1,1109609,712307,64.19448070711898
SYM000,2023-10-05,101.88,102.9,101.61,101.64,1225036,1029114,84.0069022778228
SYM000,2023-10-06,101.02,101.95,99.52,101.95,682515,239985,35.16188300062481
SYM000,2023-10-09,102.17,102.27,101.5,101.5,797736,353516,44.31494403380937
SYM000,2023-10-10,102.66,102.96,101.75,101.75,853276,445500,52.210649842209264
SYM000,2023-10-11,100.4,101.78,98.58,99.02,325064,120499,37.06961538552846
SYM000,2023-10-12,98.99,100.27,98.59,100.27,1234767,512262,41.486545070431376
SYM000,2023-10-13,100.64,101.22,100.07,101.22,1169856,546986,46.75671068304876
SYM000,2023-10-16,100.62,100.71,100.29,100.29,762242,422272,55.39878011989148
SYM000,2023-10-17,100.6,102.16,99.31,101.8,699612,561465,80.25379314307034
SYM000,2023-10-18,102.33,102.4,101.91,101.91,457690,239950,52.426532346754776
SYM000,2023-10-19,102.4,103.95,101.58,101.58,1090591,481159,44.11912716988037
SYM000,2023-10-20,101.98,102.02,100.2,100.75,855330,598645,69.99004498711734
SYM000,2023-10-23,101.15,101.6,101.1,101.4,965350,409879,42.45914327731319
SYM000,2023-10-24,101.73,102.33,100.16,102.33,1434803,708445,49.37582965226297
SYM000,2023-10-25,102.01,102.03,101.4,102.03,1486021,898381,60.45547225514444
SYM000,2023-10-26,102.64,104.87,100.58,102.25,1238751,692548,55.90702672176052
SYM000,2023-10-27,101.57,101.59,99.53,101.59,1247259,717742,57.54559817714218
SYM000,2023-10-30,101.39,103.55,101.13,101.13,1253644,393214,31.36571009244077
SYM000,2023-10-31,100.55,101.52,100.49,100.49,374679,240596,64.21405657535595
SYM000,2023-11-01,100.37,102.86,99.37,101.93,1369870,182604,13.330085789071411
SYM000,2023-11-02,101.33,102.14,100.64,100.67,1121186,711750,63.4819062875364
SYM000,2023-11-03,100.57,100.95,99.08,100.95,1357124,591602,43.59236727892953
SYM000,2023-11-06,100.94,102.52,100.71,100.71,1290239,766324,59.394007352459376
SYM000,2023-11-07,100.65,101.39,98.76,98.76,677570,461751,68.1481540612228
SYM000,2023-11-08,98.96,100.8,98.49,99.54,1197366,1077629,90.0
SYM000,2023-11-09,99.15,99.57,98.71,98.77,841985,332702,39.51404470667729
SYM000,2023-11-10,98.93,99.66,98.03,99.66,967256,495300,51.20677830523253
SYM000,2023-11-13,99.01,99.36,97.12,99.36,1139853,562595,49.35681844324803
SYM000,2023-11-14,99.16,99.41,98.78,98.78,1274893,369742,29.001863451865255
SYM000,2023-11-15,98.6,98.97,97.49,98.97,1398589,1030543,73.68452440257809
SYM000,2023-11-16,98.22,99.03,97.82,99.03,518418,283240,54.63553924343777
SYM000,2023-11-17,99.31,99.48,99.02,99.48,1442083,1058352,73.3905086486602
SYM000,2023-11-20,99.33,99.49,97.59,97.59,1028254,758145,73.7313665861576
SYM000,2023-11-21,97.75,98.65,97.09,97.09,1443218,676315,46.86163269832262
SYM000,2023-11-22,96.18,97.98,95.61,97.12,945250,601492,63.63319764999842
SYM000,2023-11-23,97.7,98.01,97.5,97.5,852503,394625,46.29022895881623
SYM000,2023-11-24,97.62,98.26,97.61,98.26,1153959,562177,48.71726884112442
SYM000,2023-11-27,97.49,98.72,96.15,98.72,744352,658298,88.4391041583396
SYM000,2023-11-28,99.2,99.22,98.98,99.22,937177,570346,60.857958944792756
SYM000,2023-11-29,99.31,100.22,98.5,100.22,1276345,827325,64.81989292671679
SYM000,2023-11-30,100.08,101.01,99.21,101.01,509361,298252,58.55422917318925
SYM000,2023-12-01,100.79,103.77,99.53,100.67,1336252,601722,45.030609999053034
SYM000,2023-12-04,99.97,101.41,99.83,100.74,1087012,977079,89.88669687822528
SYM000,2023-12-05,100.59,101.19,100.26,101.19,1152969,615934,53.42163798623693
SYM000,2023-12-06,101.93,102.05,99.58,101.17,1027222,840059,81.77977591337091
SYM000,2023-12-07,101.66,102.4,100.79,102.4,1137911,794583,69.82829863697972
SYM000,2023-12-08,101.74,103.12,100.29,101.87,469713,266056,56.642280391706315
SYM000,2023-12-11,101.87,104.17,101.67,104.17,951160,822182,86.43998125338159
SYM000,2023-12-12,103.96,105.74,103.5,103.5,1168993,663038,56.71876655535817
SYM000,2023-12-13,103.9,104.74,102.99,104.64,588099,352421,59.92551959247307
SYM000,2023-12-14,104.31,104.34,103.66,104.34,678489,337180,49.695778875795334
SYM000,2023-12-15,104.51,105.71,103.76,103.76,645556,300219,46.505576266284905
SYM000,2023-12-18,104.45,104.79,104.23,104.23,1149615,268919,23.392114790054677
SYM000,2023-12-19,105.27,105.41,105.2,105.23,1164438,796872,68.43407864971519
SYM000,2023-12-20,104.35,104.57,103.6,103.6,1393607,700599,50.27238415172164
SYM000,2023-12-21,102.94,105.77,102.7,102.7,943484,458845,48.633059353271534
SYM000,2023-12-22,103.32,103.49,101.11,103.49,1185184,750581,63.33040342762863
SYM000,2023-12-25,104.0,105.21,101.91,104.7,712171,471730,66.23834390801282
SYM000,2023-12-26,104.21,105.79,103.94,103.94,1251976,733086,58.55433083078869
SYM000,2023-12-27,104.65,104.89,102.78,104.48,759027,480220,63.26787593052541
SYM000,2023-12-28,103.66,104.41,103.06,104.41,890359,305938,34.36129617097673
SYM000,2023-12-29,104.03,104.83,103.19,103.19,956256,469707,49.119403061939025
SYM001,2023-01-02,99.7,100.64,99.07,99.07,650957,373850,57.43089338594312
SYM001,2023-01-03,98.29,98.31,98.07,98.31,1102452,604208,54.80591847844618
SYM001,2023-01-04,97.69,97.72,96.68,96.68,335743,202069,60.1858986970237
SYM001,2023-01-05,96.61,97.14,95.93,97.14,964190,295874,30.686297225377725
SYM001,2023-01-06,97.6,98.56,97.16,97.16,584067,197709,33.85045445374186
SYM001,2023-01-09,96.8,97.17,96.36,96.51,1096254,642174,58.57901186392665
SYM001,2023-01-10,96.0,96.05,94.91,96.05,1379361,464479,33.67354525983141
SYM001,2023-01-11,96.7,97.19,96.51,96.51,934694,460271,49.24298611438382
SYM001,2023-01-12,96.39,96.43,96.32,96.43,796578,501700,62.98194060822158
SYM001,2023-01-13,95.58,95.89,94.85,95.89,1173220,653464,55.698362099917915
SYM001,2023-01-16,96.45,96.64,95.36,96.64,296710,233975,78.85678446874034
SYM001,2023-01-17,97.16,98.34,96.35,97.93,1043781,571411,54.74443165993805
SYM001,2023-01-18,98.46,100.2,97.51,99.07,1002484,520722,51.94327208313178
SYM001,2023-01-19,99.32,101.72,98.68,98.68,552368,308231,55.80186868926211
SYM001,2023-01-20,99.25,99.43,98.56,99.07,848019,628324,74.09324153131996
SYM001,2023-01-23,98.88,99.11,97.33,99.11,1116542,319361,28.602764384568015
SYM001,2023-01-24,99.17,101.54,98.08,100.71,969201,794495,81.97431551384594
SYM001,2023-01-25,100.36,100.59,100.36,100.59,1084586,482855,44.519793460227554
SYM001,2023-01-26,99.78,99.92,99.34,99.66,931774,286746,30.774236641228182
SYM001,2023-01-27,99.84,100.56,99.56,100.56,549799,217824,39.618848083331436
SYM001,2023-01-30,101.18,101.83,100.53,100.53,838505,492363,58.719213412778124
SYM001,2023-01-31,100.97,101.51,99.38,100.74,585415,275272,47.02183759085864
SYM001,2023-02-01,100.94,101.41,98.55,98.55,478685,277898,58.05449768064702
SYM001,2023-02-02,98.3,98.44,96.02,96.13,1071047,894791,83.54361193411252
SYM001,2023-02-03,96.26,97.25,96.1,96.1,825711,172275,20.863953944173716
SYM001,2023-02-06,96.05,97.02,95.93,97.02,824895,388307,47.073608033267114
SYM001,2023-02-07,96.37,97.38,95.02,97.38,801189,671750,83.84419291099866
SYM001,2023-02-08,97.43,98.34,96.91,98.34,1021982,567842,55.56284848509398
SYM001,2023-02-09,98.33,98.54,96.91,98.2,845046,580710,68.7193608098027
SYM001,2023-02-10,98.11,98.91,98.0,98.0,883410,681647,77.16090497462004
SYM001,2023-02-13,97.35,98.01,96.6,98.01,826901,493720,59.70728530160683
SYM001,2023-02-14,98.44,99.21,97.84,97.84,803088,373559,46.515418774674416
SYM001,2023-02-15,98.14,99.82,95.92,99.82,690784,387227,56.05628690990933
SYM001,2023-02-16,99.43,100.06,98.38,98.38,684433,361625,52.835734322196174
SYM001,2023-02-17,98.8,99.7,96.02,96.44,864584,484860,56.080264628755785
SYM001,2023-02-20,97.26,98.35,96.98,96.98,595959,346609,58.160003165869306
SYM001,2023-02-21,97.68,98.47,97.59,97.59,269087,108304,40.24876032011454
SYM001,2023-02-22,98.18,99.27,96.62,99.27,1090465,765863,70.23272824724394
SYM001,2023-02-23,99.27,99.54,98.97,98.97,444351,222684,50.11452834889407
SYM001,2023-02-24,98.9,99.45,98.46,98.46,988088,609026,61.63681907454567
SYM001,2023-02-27,98.26,98.35,96.37,97.71,1143110,628613,54.99155354315562
SYM001,2023-02-28,98.18,100.09,96.24,98.3,1082141,594022,54.89324717307226
SYM001,2023-03-01,98.08,98.73,97.16,98.46,1145194,585051,51.08757312393125
SYM001,2023-03-02,98.84,100.05,98.2,98.2,736107,479256,65.10691590501636
SYM001,2023-03-03,98.97,99.83,98.74,99.83,1224181,683841,55.861151071572365
SYM001,2023-03-06,100.04,100.62,99.95,99.95,1065875,544869,51.11941147471405
SYM001,2023-03-07,99.5,100.09,99.49,100.09,1263686,411195,32.53940244858195
SYM001,2023-03-08,99.07,99.1,97.96,97.96,884634,574310,64.92067284837562
SYM001,2023-03-09,98.07,98.37,97.41,97.41,1142538,509811,44.620994557380854
SYM001,2023-03-10,97.92,98.31,96.55,97.64,1196685,463486,38.730840663456426
SYM001,2023-03-13,98.14,98.42,97.99,98.42,937290,610905,65.17785927100041
SYM001,2023-03-14,98.54,99.4,97.99,97.99,815142,302291,37.084517789133116
SYM001,2023-03-15,97.09,97.8,95.33,95.33,1427598,436969,30.608732670602254
SYM001,2023-03-16,96.01,96.45,95.92,96.45,397632,234607,59.00104251964962
SYM001,2023-03-17,96.55,98.05,96.02,96.02,1307353,565460,43.252302074272485
SYM001,2023-03-20,94.99,95.24,94.44,94.44,534694,330415,61.79528134468258
SYM001,2023-03-21,93.93,94.45,92.92,93.13,1180881,626452,53.04960907752265
SYM001,2023-03-22,92.59,92.62,92.45,92.62,859049,528588,61.53187503936127
SYM001,2023-03-23,92.86,93.37,90.15,91.45,1357091,135709,10.0
SYM001,2023-03-24,91.92,92.21,90.57,90.83,671878,473026,70.4035861948093
SYM001,2023-03-27,91.35,91.4,90.26,90.26,825065,327894,39.741634883475385
SYM001,2023-03-28,90.59,92.15,90.22,92.15,741044,551356,74.40264952689056
SYM001,2023-03-29,92.89,92.92,91.81,91.81,796817,342437,42.97571738847324
SYM001,2023-03-30,91.85,92.98,89.85,89.85,886097,247727,27.95715705373176
SYM001,2023-03-31,89.44,90.22,87.65,88.14,1016923,596736,58.680565134929985
SYM001,2023-04-03,87.85,88.04,86.95,86.95,1272418,470279,36.95955121148455
SYM001,2023-04-04,86.69,86.84,86.14,86.24,918731,472761,51.458048623330214
